J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J000149-015940	2.31	2.0951	0.34	7.27	18.885385884328652	-2.377814703448261	93.5334	B1	Keck	2	0	d g h i j k l s t u v w
J000149-015940	2.31	2.1539	36.05	39.54	39.54	-2.377814703448261	93.5334	B1	Keck	1	0	d f g l
J000322-260316	4.11	1.4342	-12.53	11.67	11.67	1.1154610025051963	72.6324	C	Keck	1	1	b c p r
J000322-260316	4.11	3.3897	-78.43	35.48	35.48	1.1154610025051963	72.6324	C	Keck	1	1	d g l m
J000520+052410	1.9	0.59137	-31.05	24.33	24.33	-3.5388613538918703	100.447	C	Keck	1	0	b c n p q r
J000520+052410	1.9	0.8511799999999999	-3.4	12.84	12.84	-3.5388613538918703	100.447	A	Keck	1	1	b c n o p q r
J000520+052410	1.9	0.85119	4.75	10.22	10.22	-3.5388613538918703	100.447	C	Keck	1	0	e f n o p q r
J002208-150538	4.53	3.4388	9.37	39.12	39.12	-0.8248533119583319	84.349	B1	Keck	1	0	g h l
J005757-264314	3.66	1.2679	20.57	25.21	25.21	0.26030166583287256	77.8577	C	Keck	1	1	a b c p q r
J005757-264314	3.66	1.3192	-25.87	24.1	24.1	0.26030166583287256	77.8577	C	Keck	1	1	b c p q r
J005757-264314	3.66	1.5337	-13.45	11.56	11.56	0.26030166583287256	77.8577	C	Keck	1	1	a b c n o p q r
J010054+021136	1.96	0.61256	3.72	11.91	11.91	-4.144379162180758	104.108	C	Keck	1	0	b c n o p q r
J010054+021136	1.96	0.7250800000000001	-26.34	35.23	35.23	-4.144379162180758	104.108	C	Keck	1	0	b c n p q r
J010311+131617	2.68	2.3095	-39.49	13.7	22.169684255757904	-5.755172464594922	114.193	B1	Keck	2	1	e f g j k l m v w
J012017+213346	1.49	0.7291300000000001	0.41	12.97	12.97	-7.122348291725321	123.419	A	Keck	1	1	a b c q r
J012017+213346	1.49	1.0479	-2.02	21.99	21.99	-7.122348291725321	123.419	A	Keck	1	1	b c n p r
J012017+213346	1.49	1.3246	7.03	8.04	8.04	-7.122348291725321	123.419	A	Keck	1	1	b c p q r
J012017+213346	1.49	1.3428	-12.9	9.49	9.49	-7.122348291725321	123.419	A	Keck	1	1	c n p q
J012227-042127	1.95	0.65741	71.23	46.08	46.08	-3.558337063129944	100.564	C	Keck	1	1	b c n o p q r
J015234+335033	2.43	2.1408	-54.18	21.6	27.755448113838842	-8.943815851914485	137.607	B1	Keck	2	0	d e f g h i j k l m s t u
J015734+744243	2.33	0.7455	-20.56	7.45	7.45	-10.758832262650994	157.767	C	Keck	1	0	b c n p q r
J020455+364917	2.49	1.4761	-6.58	12.16	12.16	-9.370245107636704	141.49	B1	Keck	1	1	c n o q r
J020455+364917	2.49	1.955	19.92	10.48	20.338025961238223	-9.370245107636704	141.49	B1	Keck	2	1	e h i l
J020455+364917	2.49	2.324	0.17	16.4	16.4	-9.370245107636704	141.49	B1	Keck	1	1	d e g h l
J020455+364917	2.49	2.4563	-58.53	25.97	25.97	-9.370245107636704	141.49	B1	Keck	1	1	d g l
J020455+364917	2.49	2.4628	5.76	17.29	24.550947028577127	-9.370245107636704	141.49	B1	Keck	2	1	g h i l t u
J020944+051714	4.19	3.6663	-5.99	35.03	35.03	-5.751311395815351	114.168	C	Keck	1	0	d g l
J021857+081727	2.99	1.768	0.46	12.35	12.35	-6.307544178707094	117.824	C	Keck	1	1	e f l n o p q r
J024008-230915	2.23	1.365	-2.22	5.23	5.23	-1.78209928200791	90.0124	C	Keck	1	0	d e g h l n o p
J024401-013402	4.04	2.0994	-8.13	26.21	26.21	-5.227069611004871	110.816	C	Keck	1	1	d n o p
J025518+004847	3.97	3.2534	-24.94	30.66	35.26812300080627	-5.720086288252785	113.966	B2	Keck	2	0	d g h l m s t
J030450-221157	1.41	1.0092	-1.93	10.09	10.09	-2.214101610091432	92.565	C	Keck	1	0	a b c n o p q r
J034943-381031	3.23	3.0247	-28.35	34.22	34.22	0.037615381301085556	79.1999	B1	Keck	1	0	g l
J042315-012033	0.915	0.63308	42.82	40.88	40.88	-6.149129335345709	116.771	A	Keck	1	1	a b c r
J045142-132032	3.09	1.2667	-12.68	14.62	14.62	-4.367807188817893	105.473	C	Keck	1	1	a b c n o p q
J045312-130546	2.25	1.1743	-30.33	10.93	10.93	-4.411179967214713	105.739	A	Keck	1	1	b n o p r
J045312-130546	2.25	1.2294	-14.72	8.18	8.18	-4.411179967214713	105.739	A	Keck	1	1	b c n p q r
J045312-130546	2.25	1.2324	9.81	27.57	27.57	-4.411179967214713	105.739	A	Keck	1	1	b c p
J045647+040052	1.34	0.85929	5.78	12.05	12.05	-7.044953662718074	122.873	A	Keck	1	1	a c n o p r q
J045647+040052	1.34	1.1534	-7.43	17.87	17.87	-7.044953662718074	122.873	A	Keck	1	1	b c n q r
J053007-250329	2.77	0.9439799999999999	7.58	23.37	23.37	-2.4408799777222514	93.9067	C	Keck	1	1	b c r
J053007-250329	2.77	2.1406	-8.65	8.67	19.46724942050109	-2.4408799777222514	93.9067	C	Keck	2	1	d g h i j k l n p s t u
J053007-250329	2.77	2.8114	9.19	8.63	19.44946785904437	-2.4408799777222514	93.9067	C	Keck	2	1	d e f g i j k l m s t u v w
J064204+675835	3.17	1.2938	-13.93	6.24	6.24	-11.290865898558762	168.667	C	Keck	1	1	b c p q r
J074521+473436	3.21	1.6111	-24.89	20.22	20.22	-10.581602986097122	155.146	B2	Keck	1	0	a b c n p q
J074521+473436	3.21	1.6112	-12.98	17.27	17.27	-10.581602986097122	155.146	C	Keck	1	0	a b c n p q
J074521+473436	3.21	3.0173	12.26	27.82	32.82921412400851	-10.581602986097122	155.146	B2	Keck	2	0	d e g h l m s t
J074521+473436	3.21	3.0173099999999997	8.22	21.96	21.96	-10.581602986097122	155.146	C	Keck	1	0	d g h l
J080117+521034	3.24	2.6021	-16.29	22.72	22.72	-10.663695502561309	156.326	C	Keck	1	0	d e f l
J080117+521034	3.24	2.8677	-18.78	39.77	39.77	-10.663695502561309	156.326	C	Keck	1	0	d g l
J082601-223027	0.91	0.91059	-3.91	6.09	6.09	-1.495029614249517	88.3165	A	Keck	1	1	b c n p q r
J083943+104321	2.7	2.4673	69.73	43.95	43.95	-6.301853680366202	117.786	B2	Keck	1	0	g l m
J084424+124548	2.55	1.0981	-35.7	12.2	12.2	-6.503221248303836	119.139	C	Keck	1	0	b n o p r
J084424+124548	2.55	1.1314	5.61	7.89	7.89	-6.503221248303836	119.139	C	Keck	1	0	a b c n p q r
J084424+124548	2.55	1.2189	-5.21	5.42	5.42	-6.503221248303836	119.139	C	Keck	1	0	a b c n o p q r v w
J084424+124548	2.55	2.3742	14.11	11.64	20.959353520564513	-6.503221248303836	119.139	B1	Keck	2	0	d e g h i j k n q r t u v w
J084424+124548	2.55	2.3742099999999997	22.65	38.27	42.05232217131416	-6.503221248303836	119.139	C	Keck	2	0	d g h i j t u v w
J084424+124548	2.55	2.4761	-46.64	19.73	26.326370809513413	-6.503221248303836	119.139	B1	Keck	2	0	d g h i j k l m t u
J093337+284532	3.42	3.2351	8.55	18.24	18.24	-7.675176274007774	127.427	C	Keck	1	0	d g l
J094253-110425	3.05	1.0598	-7.51	16.43	16.43	-2.0113731081095816	91.3668	C	Keck	1	0	a b c n p q r
J095500-013006	4.43	2.6238	21.41	73.58	73.58	-3.223210799979856	98.5565	B2	Keck	1	0	e f i
J095744+330820	4.25	4.1798	12.37	39.33	39.33	-7.768977593315345	128.128	B2	Keck	1	0	d g l
J095852+120245	3.31	2.3103	-22.45	64.39	64.39	-5.107138794409577	110.06	C	Keck	1	0	d e f l
J101155+294141	2.62	1.1117	-54.59	25.08	25.08	-7.144372241406694	123.575	C	Keck	1	1	b c n p q r
J101447+430030	3.1	1.4162	-9.04	5.6	5.6	-8.503435553533922	133.879	C	Keck	1	1	b c n o p q r
