#J2000	zem	zabs	da	eda	sample	source	sigflag	imrotator	transition
J000149-015940	2.31	2.0951	0.34	7.27	B1	Keck	2	0	d g h i j k l s t u v w
J000149-015940	2.31	2.1539	36.05	39.54	B1	Keck	1	0	d f g l
J000322-260316	4.11	1.4342	-12.53	11.67	C	Keck	1	1	b c p r
J000322-260316	4.11	3.3897	-78.43	35.48	C	Keck	1	1	d g l m
J000520+052410	1.9	0.59137	-31.05	24.33	C	Keck	1	0	b c n p q r
J000520+052410	1.9	0.85118	-3.4	12.84	A	Keck	1	1	b c n o p q r
J000520+052410	1.9	0.85119	4.75	10.22	C	Keck	1	0	e f n o p q r
J002208-150538	4.53	3.4388	9.37	39.12	B1	Keck	1	0	g h l
J005757-264314	3.66	1.2679	20.57	25.21	C	Keck	1	1	a b c p q r
J005757-264314	3.66	1.3192	-25.87	24.1	C	Keck	1	1	b c p q r
J005757-264314	3.66	1.5337	-13.45	11.56	C	Keck	1	1	a b c n o p q r
J010054+021136	1.96	0.61256	3.72	11.91	C	Keck	1	0	b c n o p q r
J010054+021136	1.96	0.72508	-26.34	35.23	C	Keck	1	0	b c n p q r
J010311+131617	2.68	2.3095	-39.49	13.7	B1	Keck	2	1	e f g j k l m v w
J012017+213346	1.49	0.72913	0.41	12.97	A	Keck	1	1	a b c q r
J012017+213346	1.49	1.0479	-2.02	21.99	A	Keck	1	1	b c n p r
J012017+213346	1.49	1.3246	7.03	8.04	A	Keck	1	1	b c p q r
J012017+213346	1.49	1.3428	-12.9	9.49	A	Keck	1	1	c n p q
J012227-042127	1.95	0.65741	71.23	46.08	C	Keck	1	1	b c n o p q r
J015234+335033	2.43	2.1408	-54.18	21.6	B1	Keck	2	0	d e f g h i j k l m s t u
J015734+744243	2.33	0.7455	-20.56	7.45	C	Keck	1	0	b c n p q r
J020455+364917	2.49	1.4761	-6.58	12.16	B1	Keck	1	1	c n o q r
J020455+364917	2.49	1.955	19.92	10.48	B1	Keck	2	1	e h i l
J020455+364917	2.49	2.324	0.17	16.4	B1	Keck	1	1	d e g h l
J020455+364917	2.49	2.4563	-58.53	25.97	B1	Keck	1	1	d g l
J020455+364917	2.49	2.4628	5.76	17.29	B1	Keck	2	1	g h i l t u
J020944+051714	4.19	3.6663	-5.99	35.03	C	Keck	1	0	d g l
J021857+081727	2.99	1.768	0.46	12.35	C	Keck	1	1	e f l n o p q r
J024008-230915	2.23	1.365	-2.22	5.23	C	Keck	1	0	d e g h l n o p
J024401-013402	4.04	2.0994	-8.13	26.21	C	Keck	1	1	d n o p
J025518+004847	3.97	3.2534	-24.94	30.66	B2	Keck	2	0	d g h l m s t
J030450-221157	1.41	1.0092	-1.93	10.09	C	Keck	1	0	a b c n o p q r
J034943-381031	3.23	3.0247	-28.35	34.22	B1	Keck	1	0	g l
J042315-012033	0.915	0.63308	42.82	40.88	A	Keck	1	1	a b c r
J045142-132032	3.09	1.2667	-12.68	14.62	C	Keck	1	1	a b c n o p q
J045312-130546	2.25	1.1743	-30.33	10.93	A	Keck	1	1	b n o p r
J045312-130546	2.25	1.2294	-14.72	8.18	A	Keck	1	1	b c n p q r
J045312-130546	2.25	1.2324	9.81	27.57	A	Keck	1	1	b c p
J045647+040052	1.34	0.85929	5.78	12.05	A	Keck	1	1	a c n o p r q
J045647+040052	1.34	1.1534	-7.43	17.87	A	Keck	1	1	b c n q r
J053007-250329	2.77	0.94398	7.58	23.37	C	Keck	1	1	b c r
J053007-250329	2.77	2.1406	-8.65	8.67	C	Keck	2	1	d g h i j k l n p s t u
J053007-250329	2.77	2.8114	9.19	8.63	C	Keck	2	1	d e f g i j k l m s t u v w
J064204+675835	3.17	1.2938	-13.93	6.24	C	Keck	1	1	b c p q r
J074521+473436	3.21	1.6111	-24.89	20.22	B2	Keck	1	0	a b c n p q
J074521+473436	3.21	1.6112	-12.98	17.27	C	Keck	1	0	a b c n p q
J074521+473436	3.21	3.0173	12.26	27.82	B2	Keck	2	0	d e g h l m s t
J074521+473436	3.21	3.01731	8.22	21.96	C	Keck	1	0	d g h l
J080117+521034	3.24	2.6021	-16.29	22.72	C	Keck	1	0	d e f l
J080117+521034	3.24	2.8677	-18.78	39.77	C	Keck	1	0	d g l
J082601-223027	0.91	0.91059	-3.91	6.09	A	Keck	1	1	b c n p q r
J083943+104321	2.7	2.4673	69.73	43.95	B2	Keck	1	0	g l m
J084424+124548	2.55	1.0981	-35.7	12.2	C	Keck	1	0	b n o p r
J084424+124548	2.55	1.1314	5.61	7.89	C	Keck	1	0	a b c n p q r
J084424+124548	2.55	1.2189	-5.21	5.42	C	Keck	1	0	a b c n o p q r v w
J084424+124548	2.55	2.3742	14.11	11.64	B1	Keck	2	0	d e g h i j k n q r t u v w
J084424+124548	2.55	2.37421	22.65	38.27	C	Keck	2	0	d g h i j t u v w
J084424+124548	2.55	2.4761	-46.64	19.73	B1	Keck	2	0	d g h i j k l m t u
J093337+284532	3.42	3.2351	8.55	18.24	C	Keck	1	0	d g l
J094253-110425	3.05	1.0598	-7.51	16.43	C	Keck	1	0	a b c n p q r
J095500-013006	4.43	2.6238	21.41	73.58	B2	Keck	1	0	e f i
J095744+330820	4.25	4.1798	12.37	39.33	B2	Keck	1	0	d g l
J095852+120245	3.31	2.3103	-22.45	64.39	C	Keck	1	0	d e f l
J101155+294141	2.62	1.1117	-54.59	25.08	C	Keck	1	1	b c n p q r
J101447+430030	3.1	1.4162	-9.04	5.6	C	Keck	1	1	b c n o p q r
J101447+430030	3.1	2.9587	18.61	19.48	C	Keck	2	0	d e g h l m s u
J105756+455553	4.12	3.3172	27.47	60.67	C	Keck	1	1	d g l
J111038+483115	2.97	0.80757	12.15	12.21	C	Keck	1	1	a b c p q
J111038+483115	2.97	0.86182	-20.24	16.36	C	Keck	1	1	a b c q r
J111038+483115	2.97	1.0158	-20.98	9.37	C	Keck	1	1	a b c p
J111113-080402	3.92	1.9746	2.86	23.26	B2	Keck	1	0	b c n p r
J111113-080402	3.92	3.6061	-4.2	44.02	B2	Keck	1	0	d g h l m
J113508+222715	2.88	2.1053	43.61	39.76	C	Keck	1	0	d e f g l
J115129+382552	1.3	0.55339	-18.37	17.16	A	Keck	1	1	b c q r
J120523-074232	4.7	1.7549	-14.65	21.78	C	Keck	1	1	b c q r
J120858+454035	1.16	0.92741	-2.18	13.9	C	Keck	1	1	b c n o p q r
J120858+454035	1.16	0.92742	-2.8	7.77	A	Keck	1	1	a b c n o p q r
J121303+171423	2.54	0.69404	-19.2	39.16	B2	Keck	1	0	b c p q r
J121303+171423	2.54	0.84142	5.79	8.04	B2	Keck	1	0	b c n o p q r
J121303+171423	2.54	1.8918	-4.45	9.03	B2	Keck	2	0	e f g h i j k l m s t u v w
J121549-003432	2.69	1.3196	-7.25	7.61	A	Keck	1	1	a b c n o p q r
J121549-003432	2.69	1.5541	-18.7	8.78	A	Keck	1	1	b c n o p q r
J121732+330538	2.61	1.999	54.98	31.78	B1	Keck	2	1	d e f g h i j l m t u v w
J122527+223512	2.05	0.66802	0.75	14.75	A	Keck	1	1	b c n p r
J122607+173649	2.94	2.4653	-13.06	16.56	C	Keck	1	0	f g h i j k m s u v w
J122607+173649	2.92	2.46531	16.54	19.08	B2	Keck	2	0	h i j k m s u v w
J122607+173649	2.94	2.5577	-2.53	35.03	C	Keck	1	0	d e f g l
J122607+173649	2.92	2.55771	4.19	11.98	B2	Keck	1	0	d g l n p
J122824+312837	2.22	1.7954	-12.95	10.5	C	Keck	1	1	a b c n o p r
J122824+312837	2.22	1.79541	6.48	14.15	A	Keck	1	1	d e f g h l
J124714+312641	2.95	0.85048	-69.0	70.23	C	Keck	1	0	b c p r
J124714+312641	2.95	2.7504	24.85	47.88	C	Keck	1	0	d g l
J125048+395139	1.03	0.77292	22.28	11.79	A	Keck	1	1	b c n o p q r
J125048+395139	1.03	0.85452	-0.21	12.7	A	Keck	1	1	b c n p q r
J125659+042734	1.02	0.51934	-33.65	32.56	A	Keck	1	1	a b c q r
J125659+042734	1.02	0.93426	18.77	17.96	A	Keck	1	1	b c n p q r
J131011+460124	2.13	0.22909	25.49	53.95	C	Keck	1	0	a b c r
J131956+272808	1.01	0.66004	4.44	15.05	A	Keck	1	0	b c n p q r
J134002+110630	2.97	2.7955	41.09	94.98	C	Keck	1	0	d h l
J142326+325220	1.91	0.84324	1.02	8.46	A	Keck	1	1	b c n o p q r
J142326+325220	1.91	0.90301	-9.99	17.83	A	Keck	1	1	b c n o p q r
J142326+325220	1.91	1.1726	-32.04	15.46	A	Keck	1	1	b c n p r
J142656+602550	3.2	2.7698	-6.88	18.66	C	Keck	1	1	d g l
J142656+602550	3.2	2.8268	3.19	9.29	C	Keck	1	1	d g l
J143912+295448	3.0	1.2259	2.8	14.33	C	Keck	1	0	a b c n o p q r
J144453+291905	2.76	2.4389	-9.39	17.12	C	Keck	1	1	d g l
J155152+191104	2.83	1.1425	-0.92	6.63	C	Keck	1	0	c f n p q r
J155152+191104	2.83	1.3422	-8.53	11.69	C	Keck	1	0	n o p q
J155152+191104	2.83	1.8024	-20.01	12.67	C	Keck	1	0	d e f
J162645+642655	2.32	0.58596	-19.77	45.3	C	Keck	1	1	b c r
J162645+642655	2.32	2.1102	-1.64	11.68	C	Keck	1	1	d e f g l
J163429+703132	1.34	0.9901	-22.02	12.93	C	Keck	1	1	a b c d n o p q r
J163429+703132	1.34	0.99011	11.56	23.99	A	Keck	1	1	b c n p q r
J175746+753916	3.05	2.6253	-5.91	17.73	B1	Keck	2	1	d g l m s t u
J175746+753916	3.05	2.62531	-7.51	13.88	B1	Keck	2	0	e g h k l m s t u
J185230+401906	2.12	1.99	-15.62	8.99	C	Keck	2	1	g h i j k l m n o p q r v w
J194454+770552	3.02	1.7385	-1.94	18.61	C	Keck	1	1	e f h i j m n t u
J214805+065738	1.0	0.79026	0.88	5.9	C	Keck	1	1	b c n o p q r
J220852-194359	2.56	0.94841	-36.64	18.57	B1	Keck	1	1	b c n p q r
J220852-194359	2.56	1.0172	-3.18	7.34	B1	Keck	1	1	a b c n o p q r
J220852-194359	2.56	1.9204	13.99	7.03	B1	Keck	2	1	d g h i j k l m s t u v w
J223235+024755	2.15	1.8585	-54.8	11.74	B1	Keck	2	0	d g h j l n p s t u
J223235+024755	2.15	1.864	-10.12	4.92	B1	Keck	2	0	g h i j k l m n o s t u v w
J223408+000001	3.02	1.2128	13.26	14.9	C	Keck	1	1	a b c o p q r
J223408+000001	3.02	2.0653	-26.14	10.17	C	Keck	2	1	g h j k l m t u v w
J223408+000001	3.02	2.06531	17.17	12.49	B1	Keck	2	1	e f g h i j k l m s t u v w
J223408+000001	3.02	2.6532	-33.1	19.38	C	Keck	2	0	d g l s t u
J223619+132620	3.3	2.548	10.15	61.86	C	Keck	1	1	d g l
J223619+132620	3.3	2.5548	-18.51	65.72	C	Keck	1	1	d e f g l
J223619+132620	3.3	3.1513	-41.11	34.41	C	Keck	1	1	d g l
J234628+124859	2.52	0.73117	-12.11	9.76	C	Keck	1	0	a b c o q r
J234628+124859	2.52	1.5899	4.49	11.63	C	Keck	1	0	a c d e f g q r
J234628+124859	2.52	2.1711	-9.44	12.04	C	Keck	1	0	c d e f n p
J234628+124859	2.52	2.43	-13.22	3.79	C	Keck	2	0	d g i j k l n q r s t u v w
J234646+124527	2.77	1.0465	-7.5	15.14	C	Keck	1	1	a b c i n o p q r
J234646+124527	2.77	1.1161	0.05	19.64	C	Keck	1	1	a b c o p q r
J234646+124527	2.77	2.5378	-38.56	22.77	C	Keck	1	1	d g l
J235057-005209	3.01	2.4264	-48.79	34.85	B2	Keck	1	0	d e g h l
J235057-005209	3.01	2.6147	-6.97	38.01	B2	Keck	2	0	d g l s t u
J235129-142748	2.94	2.2794	13.66	41.61	B1	Keck	1	0	g h l
J000344-232355	2.28	0.4521	-4.59	7.87	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 j8
J000344-232355	2.28	0.9491	-15.34	27.88	D	VLT	3	0	a2 b1 b2 j4 j6 j8
J000344-232355	2.28	1.5864	-4.1	10.03	D	VLT	3	0	a2 j1 j4 j5 j6 j7 j8 c1 e1
J000448-415728	2.76	1.9886	2.66	19.45	D	VLT	3	0	j4 j6 j7 j8 c1 d1 d2
J000448-415728	2.76	2.1679	13.81	9.44	D	VLT	3	0	b1 j1 j4 j5 j6 c1 e1
J001210-012207	1.999	1.203	7.72	11.9	D	VLT	3	0	b1 b2 j4 j6 j7 j8 c1
J001602-001225	2.087	0.6351	-6.73	35.45	D	VLT	3	0	b1 b2 j4 j6 j8
J001602-001225	2.087	0.6363	-15.61	39.14	D	VLT	3	0	b1 b2 j4 j6 j8
J001602-001225	2.087	0.8575	12.66	18.26	D	VLT	3	0	b1 b2 j7 j8
J001602-001225	2.087	1.1468	-15.81	29.22	D	VLT	3	0	b1 b2 j6 j8
J001602-001225	2.087	2.0292	-9.09	9.34	D	VLT	3	0	a2 j1 j4 j6 j7 j8 d1 d2 e1
J004131-493611	3.24	2.1095	3.86	28.56	D	VLT	3	0	b1 b2 j7 j8 c1 d1 d2
J004131-493611	3.24	2.2485	-12.3	6.72	D	VLT	3	0	j1 j2 j3 j6 j7 j8 c1 d1 d2 e2 h1 h2 h3 l1 l2 k1 i1 i2
J005758-264314	3.655	1.2679	10.76	19.31	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J005758-264314	3.655	1.5336	-4.56	9.03	D	VLT	3	0	b2 j3 j4 j5 j6 j7 h1 i1 i2
J010311+131617	2.681	1.7975	4.43	5.48	D	VLT	3	0	a2 j1 j4 j5 j6 e2
J010311+131617	2.681	2.3092	-0.82	5.63	D	VLT	3	0	j1 j2 c1 e1 e2 h1 h2 h3 l1 l2 k1 k2
J010821+062327	1.96	1.1827	1.42	9.5	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J011143-350300	2.41	0.8221	7.02	10.5	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J011143-350300	2.41	1.3499	0.84	3.78	D	VLT	3	0	b1 b2 j4 j5 j6 j7 j8
J012417-374423	2.2	0.8593	-6.77	25.16	D	VLT	3	0	a2 b1 b2 j5 j6 j7 j8
J012417-374423	2.2	1.2433	18.38	12.21	D	VLT	3	0	a2 b1 b2 j4 j5 j6 h2 k2 k3
J012417-374423	2.2	1.8566	2.36	14.45	D	VLT	3	0	j3 j4 j5 j6 d1 d2 e2 h1 k1 k2 k3
J012417-374423	2.2	1.9102	-38.72	31.11	D	VLT	3	0	j4 j8 c1 d1 d2 e1
J013105-213446	1.9	0.34	-67.48	39.14	D	VLT	3	0	b1 b2 j7 j8
J014333-391700	1.807	0.7693	26.47	42.88	D	VLT	3	0	b1 b2 j6
J014333-391700	1.807	1.7101	-14.65	23.57	D	VLT	3	0	b1 j4 j6 j8 c1 d1 d2 e1
J015733-004824	1.546	1.9328	21.84	24.54	D	VLT	3	0	j7 e1
J024008-230915	2.223	1.1846	-15.13	27.54	D	VLT	3	0	a2 b1 b2 j6 j8
J024008-230915	2.223	1.6359	10.0	11.1	D	VLT	3	0	a2 b1 b2 j1 j4 j7 j8 d1 d2 e1
J024008-230915	2.223	1.6373	-1.87	10.2	D	VLT	3	0	a2 b1 b2 j1 j4 j7 j8
J024008-230915	2.223	1.6574	-1.37	10.1	D	VLT	3	0	b1 b2 j4 j6 c1 e1
J033106-382404	2.423	0.7627	4.4	9.88	D	VLT	3	0	a2 b1 b2 j5 j6 j7 j8
J033106-382404	2.423	0.9709	-44.85	42.16	D	VLT	3	0	b1 b2 j8
J033106-382404	2.423	1.438	-43.23	25.71	D	VLT	3	0	b1 b2 j4 j8
J033108-252443	2.685	0.9925	5.13	12.32	D	VLT	3	0	b1 b2 j4 j8
J033108-252443	2.685	2.4547	-21.22	54.96	D	VLT	3	0	j1 e1
J033244-445557	2.6	2.4112	-10.0	7.93	D	VLT	3	0	j1 j4 j6 j7 c1 e1 e2
J033244-445557	2.6	2.6563	10.79	16.89	D	VLT	3	0	j1 j4 j5 j6 c1 e1
J040718-441013	3.0	2.4126	24.2	22.2	D	VLT	3	0	j5 j6 j8 c1 d1 d2
J040718-441013	3.0	2.5499	8.95	3.53	D	VLT	3	0	j1 j4 j6 c1 e1 e2 k1 k2
J040718-441013	3.0	2.5948	5.74	3.45	D	VLT	3	0	j1 j2 j5 j6 c1 d1 d2 e1 e2 h1 h2 h3 l2 k1 k2
J040718-441013	3.0	2.6214	42.64	27.44	D	VLT	3	0	j1 c1 e1
J042707-130253	2.159	1.408	-25.51	11.1	D	VLT	3	0	b1 b2 j1 j4 j5 j6 j7 j8 c1
J042707-130253	2.159	1.5632	-29.67	24.49	D	VLT	3	0	j4 j6 j8 c1 e1
J042707-130253	2.159	2.0351	80.57	38.3	D	VLT	3	0	j1 c1 e2
J043037-485523	1.94	1.3556	-4.05	2.32	D	VLT	3	0	a2 j1 j2 j3 j4 j5 j6 j7 j8 c1 e1 e2 h1 h3 k1 k2 k3 i1 i2 i3
J044017-433308	2.863	1.4335	1.39	25.0	D	VLT	3	0	b1 b2 j4 j7 j8
J044017-433308	2.863	2.0482	14.0	8.64	D	VLT	3	0	j1 j2 j4 c1 e2 h1 h2 h3 l2 k1 k2 k3 i2 i3
J051707-441055	1.71	0.2223	12.62	37.03	D	VLT	3	0	a2 b1 b2 j8
J051707-441055	1.71	0.4291	-31.53	15.02	D	VLT	3	0	a2 b1 j4 j6 j7 j8
J053007-250329	2.813	2.1412	6.76	3.59	D	VLT	3	0	b1 b2 j1 j2 j5 c1 h1 k1 k2 k3
J055246-363727	2.317	1.2252	2.69	8.95	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 c1 e1
J055246-363727	2.317	1.7475	-9.36	11.55	D	VLT	3	0	a2 j1 j4 j5 j6 j7 j8 e1
J055246-363727	2.317	1.9565	17.4	15.3	D	VLT	3	0	j1 j4 j6 c1 d1 d2 e1
J064326-504112	3.09	2.6592	-15.3	19.2	D	VLT	3	0	j4 j5 j6 c1 d1 d2 e2 l1 k1 k2
J091613+070224	2.774	1.3324	82.33	59.15	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J094253-110426	3.054	1.0595	3.72	7.37	D	VLT	3	0	a2 b1 j4 j7 j8
J094253-110426	3.054	1.7891	-23.3	4.95	D	VLT	3	0	b1 b2 j4 j5 j6
J103909-231326	3.13	1.4429	-19.8	27.2	D	VLT	3	0	b1 j7 j8
J103909-231326	3.13	2.7778	-11.3	6.6	D	VLT	3	0	j1 j2 j4 c1 h1 h2 h3 l2 k1 k2 k3
J103921-271916	2.23	0.8771	21.59	20.71	D	VLT	3	0	a2 b2 j6 j8
J103921-271916	2.23	1.0093	-6.43	32.8	D	VLT	3	0	b1 b2 j8
J103921-271916	2.23	1.9721	29.8	8.47	D	VLT	3	0	j4 j5 j6 j7 c1 e1
J104032-272749	2.32	1.3861	4.46	6.93	D	VLT	3	0	a2 b1 b2 j3 j5 j6 j7 j8 e1 h1 h3 k1 k2 k3 i1 i2 g4 g5
J104032-272749	2.32	1.7761	2.62	13.2	D	VLT	3	0	b1 b2 j1 j4 j5 j6 c1 e1
J110325-264515	2.145	1.1868	-7.45	9.25	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 j8
J110325-264515	2.145	1.2029	6.23	8.3	D	VLT	3	0	b1 b2 j4 j6 j7 j8
J110325-264515	2.145	1.5515	-6.69	9.98	D	VLT	3	0	b1 b2 j4 j6 j8 c1 e1
J110325-264515	2.145	1.8389	6.12	3.95	D	VLT	3	0	a2 j1 j4 j5 e1
J111113-080401	3.922	3.6077	229.62	161.34	D	VLT	3	0	j1 e1
J112010-134625	3.958	1.6283	8.86	11.3	D	VLT	3	0	b2 j4 j5 j6
