transition	four	code	wavelength
AlII	1670	d	1670.7886100
AlIII	1854	e	1854.7089660
AlIII	1862	f	1862.7985810
CrII	2056	i	2056.2567280
CrII	2062	j	2062.2358730
CrII	2066	k	2066.1638190
FeII	1608	l	1608.4508520
FeII	1611	m	1611.2003690
FeII	2344	n	2344.2127470
FeII	2374	o	2374.4600640
FeII	2382	p	2382.7639950
FeII	2586	q	2586.6493120
FeII	2600	r	2600.1721140
MgI	2852	a	2852.9627970
MgII	2796	b	2796.3537860
MgII	2803	c	2803.5309820
NiII	1709	s	1709.6040200
NiII	1741	t	1741.5528900
NiII	1751	u	1751.9154900
SiII	1526	g	1526.7069800
SiII	1808	h	1808.0128830
ZnII	2026	v	2026.1369460
ZnII	2062	w	2062.6602910
