transition wave qval
AlII1670 1670.7886100 270.0
AlIII1854 1854.7089660 458.
AlIII1862 1862.7803250 224.
CrII2056 2056.2600379 -1110.0
CrII2062 2062.23610 -1168.0
CrII2066 2066.1637338 -1360.0
FeII1260 1260.5355720 -1165.
FeII1608 1608.4508520 -1165.
FeII1611 1611.2003690 1330.
FeII2249 2249.8754720 1604.
FeII2260 2260.7791080 1435.
FeII2344 2344.2127470 1375.
FeII2367 2367.5892400 1803.
FeII2374 2374.4600640 1625.
FeII2382 2382.7639950 1505.
FeII2586 2586.6493120 1515.
FeII2600 2600.1721140 1370.
MgI2026 2026.4749788 87.0
MgI2852 2852.9627970 90.0
MgII2796 2796.3537860 212.
MgII2803 2803.5309820 121.
MnII2576 2576.8910870 1276.0
MnII2594 2594.5122580 1030.0
MnII2606 2606.4355970 869.0
NiII1709 1709.6040200 -20.0
NiII1741 1741.5528900 -1400.0
NiII1751 1751.9154900 -700.0
SiII1526 1526.7076312 47.0
SiII1808 1808.0131691 526.0
TiII1910 1910.9538000 -1689.0
TiII3067 3067.2373700 855.0
TiII3073 3073.8627800 739.0
TiII3230 3230.1215700 721.0
TiII3242 3242.9178500 563.0
TiII3384 3384.7298800 408.0
ZnII2026 2026.13709 2488.0
ZnII2062 2062.66045 1585.0
